Time (UTC),Subscriber Count,Hourly Gains
2024-05-15T17:00:00.000Z,258080223,2400
2024-05-15T18:00:00.000Z,258091582,11359
2024-05-15T19:00:00.000Z,258101689,10107
2024-05-15T20:00:00.000Z,258109778,8089
2024-05-15T21:00:00.000Z,258117605,7827
2024-05-15T22:00:00.000Z,258124588,6983
2024-05-15T23:00:00.000Z,258131577,6989
2024-05-16T00:00:00.000Z,258139040,7463
2024-05-16T01:00:00.000Z,258146081,7041
2024-05-16T02:00:00.000Z,258153560,7479
2024-05-16T03:00:00.000Z,258160011,6451
2024-05-16T04:00:00.000Z,258165821,5810
2024-05-16T05:00:00.000Z,258173978,8157
2024-05-16T06:00:00.000Z,258182308,8330
2024-05-16T07:00:00.000Z,258189652,7344
2024-05-16T08:00:00.000Z,258196310,6658
2024-05-16T09:00:00.000Z,258205714,9404
2024-05-16T10:00:00.000Z,258214490,8776
2024-05-16T11:00:00.000Z,258224211,9721
2024-05-16T12:00:00.000Z,258238011,13800
2024-05-16T13:00:00.000Z,258250812,12801
2024-05-16T14:00:00.000Z,258263570,12758
2024-05-16T15:00:00.000Z,258277012,13442
2024-05-16T16:00:00.000Z,258287621,10609
2024-05-16T17:00:00.000Z,258299903,12282
2024-05-16T18:00:00.000Z,258311161,11258
2024-05-16T19:00:00.000Z,258318043,6882
2024-05-16T20:00:00.000Z,258319115,1072
2024-05-16T21:00:00.000Z,258324637,5522
2024-05-16T22:00:00.000Z,258332453,7816
2024-05-16T23:00:00.000Z,258340154,7701
2024-05-17T00:00:00.000Z,258348498,8344
2024-05-17T01:00:00.000Z,258357155,8657
2024-05-17T02:00:00.000Z,258365916,8761
2024-05-17T03:00:00.000Z,258375253,9337
2024-05-17T04:00:00.000Z,258383502,8249
2024-05-17T05:00:00.000Z,258392423,8921
2024-05-17T06:00:00.000Z,258403730,11307
2024-05-17T07:00:00.000Z,258415683,11953
2024-05-17T08:00:00.000Z,258426554,10871
2024-05-17T09:00:00.000Z,258438822,12268
2024-05-17T10:00:00.000Z,258451917,13095
2024-05-17T11:00:00.000Z,258465730,13813
2024-05-17T12:00:00.000Z,258479715,13985
2024-05-17T13:00:00.000Z,258495330,15615
2024-05-17T14:00:00.000Z,258511016,15686
2024-05-17T15:00:00.000Z,258525275,14259
2024-05-17T16:00:00.000Z,258540355,15080
2024-05-17T17:00:00.000Z,258556088,15733
2024-05-17T18:00:00.000Z,258569827,13739
2024-05-17T19:00:00.000Z,258581718,11891
2024-05-17T20:00:00.000Z,258591824,10106
2024-05-17T21:00:00.000Z,258601290,9466
2024-05-17T22:00:00.000Z,258609388,8098
2024-05-17T23:00:00.000Z,258617369,7981
2024-05-18T00:00:00.000Z,258626269,8900
2024-05-18T01:00:00.000Z,258636207,9938
2024-05-18T02:00:00.000Z,258645885,9678
2024-05-18T03:00:00.000Z,258655137,9252
2024-05-18T04:00:00.000Z,258665948,10811
2024-05-18T05:00:00.000Z,258678075,12127
2024-05-18T06:00:00.000Z,258690830,12755
2024-05-18T07:00:00.000Z,258704601,13771
2024-05-18T08:00:00.000Z,258719409,14808
2024-05-18T09:00:00.000Z,258734504,15095
2024-05-18T10:00:00.000Z,258749028,14524
2024-05-18T11:00:00.000Z,258764263,15235
2024-05-18T12:00:00.000Z,258778826,14563
2024-05-18T13:00:00.000Z,258795641,16815
2024-05-18T14:00:00.000Z,258812817,17176
2024-05-18T15:00:00.000Z,258830276,17459
2024-05-18T16:00:00.000Z,258847641,17365
2024-05-18T17:00:00.000Z,258862936,15295
2024-05-18T18:00:00.000Z,258877981,15045
2024-05-18T19:00:00.000Z,258885473,7492
2024-05-18T20:00:00.000Z,258890149,4676
2024-05-18T21:00:00.000Z,258896043,5894
2024-05-18T22:00:00.000Z,258904651,8608
2024-05-18T23:00:00.000Z,258912614,7963
2024-05-19T00:00:00.000Z,258921072,8458
2024-05-19T01:00:00.000Z,258930884,9812
2024-05-19T02:00:00.000Z,258941194,10310
2024-05-19T03:00:00.000Z,258950645,9451
2024-05-19T04:00:00.000Z,258962490,11845
2024-05-19T05:00:00.000Z,258975220,12730
2024-05-19T06:00:00.000Z,258988268,13048
2024-05-19T07:00:00.000Z,259001350,13082
2024-05-19T08:00:00.000Z,259014572,13222
2024-05-19T09:00:00.000Z,259029651,15079
2024-05-19T10:00:00.000Z,259044514,14863
2024-05-19T11:00:00.000Z,259061182,16668
2024-05-19T12:00:00.000Z,259078584,17402
2024-05-19T13:00:00.000Z,259098403,19819
2024-05-19T14:00:00.000Z,259118151,19748
2024-05-19T15:00:00.000Z,259139674,21523
2024-05-19T16:00:00.000Z,259157821,18147
2024-05-19T17:00:00.000Z,259175784,17963
2024-05-19T18:00:00.000Z,259193150,17366
2024-05-19T19:00:00.000Z,259206085,12935
2024-05-19T20:00:00.000Z,259212085,6000
2024-05-19T21:00:00.000Z,259215885,3800
2024-05-19T22:00:00.000Z,259224162,8277
2024-05-19T23:00:00.000Z,259232380,8218
2024-05-20T00:00:00.000Z,259241618,9238
2024-05-20T01:00:00.000Z,259248642,7024
2024-05-20T02:00:00.000Z,259256511,7869
2024-05-20T03:00:00.000Z,259263011,6500
2024-05-20T04:00:00.000Z,259270932,7921
2024-05-20T05:00:00.000Z,259280656,9724
2024-05-20T06:00:00.000Z,259290587,9931
2024-05-20T07:00:00.000Z,259300735,10148
2024-05-20T08:00:00.000Z,259310308,9573
2024-05-20T09:00:00.000Z,259320715,10407
2024-05-20T10:00:00.000Z,259334561,13846
2024-05-20T11:00:00.000Z,259343164,8603
2024-05-20T12:00:00.000Z,259354611,11447
2024-05-20T13:00:00.000Z,259367270,12659
2024-05-20T14:00:00.000Z,259381014,13744
2024-05-20T15:00:00.000Z,259401572,20558
2024-05-20T16:00:00.000Z,259410571,8999
2024-05-20T17:00:00.000Z,259426379,15808
2024-05-20T18:00:00.000Z,259428542,2163
2024-05-20T19:00:00.000Z,259433753,5211
2024-05-20T20:00:00.000Z,259441550,7797
2024-05-20T21:00:00.000Z,259449240,7690
2024-05-20T22:00:00.000Z,259456401,7161
2024-05-20T23:00:00.000Z,259463369,6968
2024-05-21T00:00:00.000Z,259471557,8188
2024-05-21T01:00:00.000Z,259479395,7838
2024-05-21T02:00:00.000Z,259487267,7872
2024-05-21T03:00:00.000Z,259494260,6993
2024-05-21T04:00:00.000Z,259503143,8883
2024-05-21T05:00:00.000Z,259512641,9498
2024-05-21T06:00:00.000Z,259521378,8737
2024-05-21T07:00:00.000Z,259527168,5790
2024-05-21T08:00:00.000Z,259532933,5765
2024-05-21T09:00:00.000Z,259554089,21156
2024-05-21T10:00:00.000Z,259564531,10442
2024-05-21T11:00:00.000Z,259576419,11888
2024-05-21T12:00:00.000Z,259588949,12530
2024-05-21T13:00:00.000Z,259602409,13460
2024-05-21T14:00:00.000Z,259615516,13107
2024-05-21T15:00:00.000Z,259630078,14562
2024-05-21T16:00:00.000Z,259645166,15088
2024-05-21T17:00:00.000Z,259658593,13427
2024-05-21T18:00:00.000Z,259668584,9991
2024-05-21T19:00:00.000Z,259678571,9987
2024-05-21T20:00:00.000Z,259686990,8419
2024-05-21T21:00:00.000Z,259692692,5702
2024-05-21T22:00:00.000Z,259698100,5408
2024-05-21T23:00:00.000Z,259705155,7055
2024-05-22T00:00:00.000Z,259711562,6407
2024-05-22T01:00:00.000Z,259718028,6466
2024-05-22T02:00:00.000Z,259726768,8740
2024-05-22T03:00:00.000Z,259737960,11192
2024-05-22T04:00:00.000Z,259747033,9073
2024-05-22T05:00:00.000Z,259758568,11535
2024-05-22T06:00:00.000Z,259770647,12079
2024-05-22T07:00:00.000Z,259782568,11921
2024-05-22T08:00:00.000Z,259795110,12542
2024-05-22T09:00:00.000Z,259807782,12672
2024-05-22T10:00:00.000Z,259821976,14194
2024-05-22T11:00:00.000Z,259837404,15428
2024-05-22T12:00:00.000Z,259853736,16332
2024-05-22T13:00:00.000Z,259871923,18187
2024-05-22T14:00:00.000Z,259889959,18036
2024-05-22T15:00:00.000Z,259908454,18495
2024-05-22T16:00:00.000Z,259925005,16551
2024-05-22T17:00:00.000Z,259942362,17357
2024-05-22T18:00:00.000Z,259958181,15819
